caps_top22,caps_top11,goal_rate_top4_fw,fw_goals_top4_total,age_top22_avg,age_top22_std,top5_league_pct,big_club_pct,chemistry_max_cluster,chemistry_top3_sum,unique_clubs,gk_avg_caps,squad_size,team,n_injured_out,availability_pct
33.0,55.81818181818182,0.19411764705882353,33,27.818181818181817,4.717105283018628,0.19230769230769232,0.038461538461538464,3,7,22,36.666666666666664,26,Australia,0,1.0
33.22727272727273,55.27272727272727,0.3697916666666667,71,26.454545454545453,3.712620339268451,0.38461538461538464,0.38461538461538464,2,5,24,3.3333333333333335,26,Algeria,0,1.0
35.09090909090909,54.72727272727273,0.45,27,27.5,3.8141341150540375,0.48,0.28,2,6,22,13.0,25,Japan,1,0.9615384615384616
35.95454545454545,54.63636363636363,0.35096153846153844,73,26.545454545454547,3.7381848501680564,0.8461538461538461,0.7307692307692307,5,9,18,14.666666666666666,26,France,0,1.0
35.68181818181818,54.54545454545455,0.30454545454545456,67,27.0,3.8297084310253524,0.038461538461538464,0.0,3,8,20,45.666666666666664,26,Iraq,0,1.0
34.31818181818182,53.09090909090909,0.32323232323232326,64,25.90909090909091,4.503005249503522,0.19230769230769232,0.15384615384615385,3,6,23,15.333333333333334,26,Ecuador,0,1.0
35.40909090909091,52.45454545454545,0.24647887323943662,35,29.59090909090909,4.777517694857375,0.038461538461538464,0.038461538461538464,1,3,26,32.666666666666664,26,Cape Verde,0,1.0
35.90909090909091,52.0,0.5459770114942529,95,26.636363636363637,3.140298052967562,0.6153846153846154,0.2692307692307692,3,7,22,26.0,26,Norway,0,1.0
34.72727272727273,51.27272727272727,0.22748815165876776,48,29.0,3.450327796711771,0.38461538461538464,0.11538461538461539,2,5,24,10.666666666666666,26,DR Congo,0,1.0
37.04545454545455,50.63636363636363,0.3173076923076923,66,28.272727272727273,4.712514425207864,0.11538461538461539,0.0,5,9,20,12.666666666666666,26,New Zealand,0,1.0
31.545454545454547,48.09090909090909,0.2196969696969697,29,25.59090909090909,3.9959394974814706,0.46153846153846156,0.34615384615384615,2,4,25,13.0,26,Ivory Coast,0,1.0
31.045454545454547,47.81818181818182,0.13970588235294118,19,28.90909090909091,4.566014109536331,0.07692307692307693,0.038461538461538464,3,7,22,12.666666666666666,26,Paraguay,0,1.0
32.59090909090909,47.63636363636363,0.3728813559322034,44,28.227272727272727,3.435553856808288,0.2692307692307692,0.07692307692307693,10,16,11,11.666666666666666,26,Czech Republic,0,1.0
33.13636363636363,46.54545454545455,0.3526315789473684,67,26.318181818181817,3.8961075036058337,1.0,0.8846153846153846,8,14,13,24.333333333333332,26,Spain,0,1.0
28.227272727272727,46.54545454545455,0.45933014354066987,96,27.863636363636363,3.8949962350425538,0.11538461538461539,0.0,2,4,25,34.0,26,Haiti,0,1.0
26.136363636363637,42.63636363636363,0.19148936170212766,18,26.545454545454547,3.9967519280067876,0.23076923076923078,0.07692307692307693,2,5,24,13.666666666666666,26,Tunisia,0,1.0
27.318181818181817,42.27272727272727,0.20689655172413793,24,27.90909090909091,4.173716978894642,0.038461538461538464,0.038461538461538464,2,6,22,27.666666666666668,26,Curacao,0,1.0
26.545454545454547,41.81818181818182,0.3886255924170616,82,26.772727272727273,4.607776224123925,0.23076923076923078,0.15384615384615385,2,5,24,9.666666666666666,26,Bosnia and Herzegovina,0,1.0
25.318181818181817,41.54545454545455,0.22395833333333334,43,26.40909090909091,4.147966695337332,0.5769230769230769,0.11538461538461539,3,6,23,13.666666666666666,26,Ghana,0,1.0
23.227272727272727,35.54545454545455,0.35877862595419846,47,27.045454545454547,3.5920185693558717,0.5769230769230769,0.3076923076923077,1,3,26,12.0,26,Sweden,0,1.0
20.90909090909091,34.45454545454545,0.3111111111111111,28,26.727272727272727,4.431293675255978,0.038461538461538464,0.0,8,17,12,23.0,26,South Africa,0,1.0
